"id","totillog","totagg","F1","F2","F3","filter"
"5185",0,1,0,0,1,0
"5187",1,4,0,2,2,0
"5202",0,2,0,1,1,0
"5200",0,2,2,0,0,0
"5201",0,4,1,1,2,0
"5197",0,2,2,0,0,0
"5199",0,2,0,1,1,0
"5198",1,6,4,2,0,0
"5204",0,7,3,2,2,0
"5205",1,5,4,1,0,0
"5206",0,1,0,0,1,0
"5207",0,4,2,1,1,0
"5208",1,9,5,2,2,0
"5209",2,7,4,1,2,0
"5210",0,1,0,0,1,0
"5211",2,7,2,1,4,0
"5219",4,5,3,1,1,0
"5212",1,6,3,1,2,0
"5213",0,6,3,1,2,0
"5215",0,2,1,1,0,0
"5216",0,5,3,0,2,0
"5218",0,4,1,1,2,0
"5229",1,5,3,1,1,0
"5230",3,9,3,3,3,0
"5231",0,5,1,3,1,0
"5232",0,6,1,1,4,0
"5233",6,5,4,1,0,1
"5234",1,4,2,0,2,0
"5227",1,4,3,0,1,0
"5242",0,3,1,0,2,0
"5244",0,4,1,1,2,0
"5228",0,2,2,0,0,0
"5243",0,11,7,1,3,0
"5241",1,5,2,1,2,0
"5238",0,8,2,3,3,0
"5239",0,5,2,2,1,0
"5237",0,5,2,0,3,0
"5238",0,9,3,3,3,0
"5217",1,6,2,2,2,0
"    ",0,0,0,0,0,0
"5246",0,4,1,1,2,0
"5247",0,5,3,0,2,0
"5250",0,5,2,0,3,0
"5252",1,4,3,0,1,0
"5261",1,2,2,0,0,0
"5262",0,4,1,1,2,0
"5263",0,7,5,0,2,0
"5264",0,8,4,1,3,0
"5265",0,6,3,1,2,0
"5266",3,7,3,1,3,0
"5267",1,3,1,0,2,0
"    ",0,0,0,0,0,0
"5277",0,2,1,0,1,0
"5280",1,4,1,0,3,0
"5279",0,10,3,2,5,0
"5284",0,9,5,1,3,0
"5278",2,7,4,1,2,0
"5281",0,6,3,1,2,0
"5252",1,4,3,0,1,0
"5250",0,5,2,0,3,0
"5247",0,5,3,0,2,0
"5249",0,4,1,1,2,0
"5248",1,9,5,2,2,0
"5246",0,3,1,1,1,0
"5289",0,1,0,1,0,0
"5290",0,4,1,1,2,0
"5291",0,4,2,1,1,0
"5292",1,5,2,2,1,0
"5294",0,2,1,0,1,0
"5295",0,7,5,0,2,0
"5296",0,3,2,0,1,0
"5297",0,5,0,2,3,0
"5298",0,4,3,0,1,0
"5299",1,5,3,1,1,0
"5301",0,9,6,0,3,0
"5302",3,7,4,0,3,0
"5303",0,7,6,0,1,0
"5304",1,4,3,1,0,0
"5285",1,7,3,2,2,0
"5268",0,5,3,1,1,0
"5282",1,7,4,1,2,0
"5250",0,6,2,1,3,0
"5288",1,6,1,2,3,0
"    ",0,0,0,0,0,0
"5305",0,4,2,0,2,0
"5309",1,4,2,0,2,0
"5306",1,5,2,0,3,0
"5307",0,4,1,0,3,0
"5308",0,8,5,1,2,0
"5310",0,1,0,1,0,0
"5311",1,8,4,1,3,0
"    ",0,0,0,0,0,0
"5288",2,5,1,2,2,0
"5250",0,6,2,1,3,0
"5282",1,7,4,1,2,0
"5285",1,7,3,2,2,0
"5268",0,5,3,1,1,0
"    ",0,0,0,0,0,0
"5268",2,4,1,1,2,0
"5282",1,5,2,1,2,0
"5285",0,1,0,1,0,0
"5286",1,4,2,0,2,0
"5287",0,0,0,0,0,0
"5288",1,4,1,1,2,0
"5289",0,7,6,1,0,0
